id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,city,last_seen,occupation_type,occupation_name,career_start,career_end,result
26233,2,13.3,0,1.0,78.0,2004.0,Distance Learning,4.0,Student (Specialist),Русский,1,5,Karakol,2020-10-22 22:11:11,university,МИПП (КФ),False,False,0
70250,1,30.9,1,1.0,172.0,0.0,Full-time,1.0,Alumnus (Specialist),Русский,False,False,Perm,2020-01-10 23:18:37,university,ГГПИ им. В. Г. Короленко,False,False,1
47680,2,,1,1.0,8.0,2016.0,Full-time,4.0,Alumnus (Bachelor's),Беларуская (тарашкевiца);Русский;English,6,2,Minsk,2020-12-24 08:45:02,work,Godel Technologies Europe,2015,False,0
77890,1,12.7,1,1.0,495.0,2021.0,Full-time,0.0,Student (Specialist),Русский;English,1,2,Omsk,2020-06-02 04:32:06,university,ОмГУПС,False,False,1
96179,1,24.9.1992,1,1.0,306.0,2016.0,Distance Learning,0.0,Alumnus (Bachelor's),Русский,0,0,Minsk,2020-08-26 22:24:18,university,БГЭУ (бывш. БГИНХ),False,False,1
18016,2,4.5.1984,1,1.0,78.0,2011.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Zarechny,2020-01-21 01:01:34,university,ИГЭУ им. Ленина,False,False,0
87091,2,21.4,0,1.0,7363.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),English;Русский,0,0,Saint Petersburg,2020-12-26 22:07:43,university,СПбГУТ им. Бонч-Бруевича,False,False,0
55823,1,30.12,1,1.0,303.0,2008.0,Full-time,0.0,Alumnus (Specialist),Русский;English,1,0,Novosibirsk,2020-03-04 05:51:55,university,РИИ,False,False,1
41257,2,23.12,0,1.0,162.0,1989.0,Full-time,0.0,Alumnus (Specialist),Русский,6,1,Donetsk,2020-01-05 04:40:31,university,ДонНТУ (бывш. ДПИ),False,False,1
77691,1,20.7.1927,0,1.0,182.0,1945.0,Full-time,0.0,PhD,Русский,0,0,Moscow,2020-02-13 15:14:06,university,not stated,False,False,1
67324,2,6.9.1989,0,1.0,20.0,1940.0,Distance Learning,1.0,Undergraduate applicant,False,6,0,Kaliningrad,2020-09-27 16:10:25,university,КИПКА,False,False,0
12891,2,,1,1.0,44.0,2003.0,Full-time,0.0,Alumnus (Specialist),Русский,0,0,Nur-Sultan/Astana,2020-11-26 19:52:37,university,КазГАСА,2006,2006,1
97473,2,23.4.1991,1,1.0,453.0,2009.0,Full-time,2.0,Student (Specialist),Русский;Татарча,0,0,Naberezhnye Chelny,2020-01-28 00:29:04,,,False,False,0
5510,2,15.2.1976,1,1.0,438.0,1999.0,Full-time,4.0,Alumnus (Specialist),False,False,False,Schelkovo,2020-09-07 19:42:48,work,"Государственный университет огня, воды и всемирного разума",2002,False,1
78298,2,,1,1.0,151.0,2017.0,Full-time,0.0,Student (Bachelor's),False,7,5,Saint Petersburg,2020-02-29 16:03:06,university,СПбГАСУ,False,False,0
43116,1,,1,1.0,307.0,2015.0,Full-time,0.0,Student (Master's),Русский,0,0,Novokuznetsk,2020-10-01 06:03:27,work,"Дворец Культуры ""АЛЮМИНЩИК""",False,False,1
72534,2,3.3.1989,0,1.0,133.0,2011.0,Full-time,0.0,Student (Specialist),Русский,0,0,Ivanovo,2020-09-27 12:04:12,university,ИГЭУ им. Ленина,False,False,0
93630,1,26.1.1995,0,1.0,539.0,2018.0,Full-time,1.0,Student (Master's),False,1,2,Kyiv,2020-01-22 18:16:46,work,"GreenGardenGroup, Green IQ",False,False,1
16449,1,14.10.1988,1,1.0,105.0,2010.0,Full-time,4.0,Student (Specialist),Русский;English,1,2,Omsk,2020-12-19 10:07:11,work,ОГОНБ имени А.С. Пушкина,False,False,1
38282,2,17.6,1,1.0,561.0,2009.0,Distance Learning,0.0,Alumnus (Specialist),Русский,5,6,Saint Petersburg,2020-12-05 18:13:42,university,СПбТИ,False,False,1
61869,2,9.1.1993,0,1.0,580.0,0.0,Full-time,1.0,Student (Bachelor's),Русский;Башҡортса;English;Français,6,6,Ufa,2020-06-17 09:22:03,university,БашГУ,2013,2015,1
75350,1,,0,1.0,19.0,2005.0,Full-time,0.0,Alumnus (Specialist),Русский,False,False,Nur-Sultan/Astana,2020-01-15 13:26:36,university,АУНГ (бывш. АИНиГ),False,False,1
33380,2,,1,1.0,2314.0,0.0,Part-time,1.0,Student (Specialist),Русский,5,2,Saint Petersburg,2020-01-12 23:48:54,work,Трейдинг \ Криптовалюта,2017,False,0
52374,1,17.6.1982,0,1.0,44.0,2011.0,Distance Learning,4.0,Student (Specialist),Русский,0,0,Saratov,2020-03-19 10:28:18,work,школа,2008,False,1
5684,1,18.11.1992,1,1.0,337.0,2015.0,Full-time,4.0,Student (Specialist),False,0,0,Samara,2020-06-07 17:22:14,university,СамГУ,False,False,1
18845,1,21.8,1,1.0,97.0,0.0,Full-time,1.0,Student (Specialist),Русский,0,0,Astrakhan,2020-12-29 10:07:35,university,АГТУ,False,False,1
91073,1,16.10.1990,0,1.0,101.0,2012.0,Full-time,4.0,Alumnus (Specialist),Русский,1,2,Krasnoyarsk,2020-11-22 03:15:23,,,False,False,1
35025,2,,0,1.0,370.0,2014.0,Full-time,1.0,Alumnus (Specialist),Русский;English;Українська,6,1,Lviv,2020-02-19 22:30:07,university,НУ «ЛП»,2007,2016,0
62572,1,14.3,0,1.0,1313.0,2011.0,Full-time,4.0,Alumnus (Specialist),Русский,1,2,Yekaterinburg,2020-11-12 20:46:16,university,УрФУ им. первого Президента России Б. Н. Ельцина,2011,2018,0
36038,1,11.11.1987,0,1.0,2269.0,2009.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Kaliningrad,2020-01-09 04:59:45,university,"БФУ им. Канта (бывш. РГУ им. Канта, КГУ)",False,False,1
88581,2,8.2.1990,0,1.0,95.0,2009.0,Full-time,4.0,Student (Specialist),False,1,2,Orsk,2020-06-24 19:14:46,work,компания континент,2009,False,0
35514,1,4.10.1995,1,1.0,204.0,2018.0,Full-time,1.0,Student (Specialist),Русский,False,False,,2020-11-30 13:45:52,university,ПГФА,False,False,1
85413,1,22.6,0,1.0,351.0,0.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Moscow,2020-10-05 23:38:15,university,ННГУ им. Н. И. Лобачевского,2003,2010,1
37353,2,19.1.1984,0,1.0,201.0,2006.0,Full-time,0.0,Alumnus (Master's),Русский,6,3,Moscow,2020-03-14 19:59:52,university,МИРЭА (до 2015),False,False,0
53508,1,23.6,0,1.0,116.0,2006.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,Moscow,2020-06-18 12:32:00,university,МГОУ им. В. С. Черномырдина (ныне в сост. МАМИ),False,False,1
52046,2,11.5.1991,1,1.0,127.0,2014.0,Full-time,1.0,Student (Master's),False,0,0,Moscow,2020-08-01 03:29:02,university,МАТИ - РГТУ им. К. Э. Циолковского,False,False,1
65426,2,20.1,0,1.0,41.0,0.0,Full-time,1.0,Alumnus (Master's),Русский,0,0,Pskov,2020-08-29 17:17:13,,,False,False,0
98970,2,20.2.1983,1,1.0,73.0,2005.0,Full-time,4.0,Alumnus (Specialist),False,False,False,Simferopol,2020-11-16 12:58:14,university,КЭИ КНЭУ,False,False,0
87638,1,23.11,1,1.0,634.0,2013.0,Distance Learning,0.0,Alumnus (Master's),False,0,0,Kharkiv,2020-06-19 12:28:08,university,ХНУВД,False,False,1
58149,1,24.1,1,1.0,1191.0,2012.0,Full-time,4.0,Alumnus (Master's),False,False,False,Moscow,2020-07-09 08:24:46,university,ХГАК (бывш. ХГИК),False,False,1
57264,2,26.6.1990,1,1.0,110.0,2013.0,Full-time,0.0,Alumnus (Specialist),Русский;English;Français,6,6,Moscow,2020-12-16 22:32:02,work,KONE,2012,False,1
19096,2,9.5.1993,1,1.0,72.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),False,6,6,Stary Oskol,2020-01-17 07:18:10,work,"ООО ""Ресурс""",2017,False,0
19695,2,9.4.1992,0,1.0,154.0,2014.0,Full-time,1.0,Student (Specialist),Русский,6,2,Yekaterinburg,2020-09-11 21:17:13,university,УрФУ им. первого Президента России Б. Н. Ельцина,False,False,0
98038,2,,0,1.0,33.0,2011.0,,0.0,Alumnus (Master's),Українська;Русский;English,False,False,Wrocław,2020-09-06 23:37:01,university,ТНЭУ (бывш. ТАНХ),False,False,0
22842,2,10.2.1989,0,1.0,401.0,2011.0,Full-time,1.0,Student (Specialist),Русский,0,0,Pyatigorsk,2020-01-02 17:30:42,university,ПГГТУ (СКФУ),False,False,0
67212,1,7.5,1,1.0,145.0,2013.0,Full-time,0.0,Student (Specialist),False,0,0,Saint Petersburg,2020-10-05 06:10:14,university,ДВФУ,False,False,1
87442,2,20.2.1986,1,1.0,186.0,0.0,Full-time,1.0,Student (Specialist),Русский,False,False,Cherepovets,2020-03-10 16:35:46,work,Секретный Агент (засланец)))),1986,False,0
45108,2,13.7.1986,1,1.0,85.0,2009.0,Full-time,0.0,Alumnus (Specialist),Русский,False,False,Moscow,2020-08-12 20:09:42,university,МТУСИ,False,False,0
92434,1,30.11.1985,1,1.0,148.0,2007.0,Full-time,4.0,Alumnus (Specialist),False,0,0,Nizhny Novgorod,2020-02-26 16:11:36,university,ИБП (ННФ),False,False,1
17858,2,18.1.1986,1,1.0,126.0,0.0,Full-time,0.0,Student (Specialist),False,0,0,Ufa,2020-04-26 18:15:57,university,УГНТУ,2007,2008,0
39531,1,9.6.1981,1,1.0,783.0,2012.0,Part-time,0.0,Alumnus (Bachelor's),Русский,0,0,Moscow,2020-11-02 22:36:52,university,Университет машиностроения (МАМИ),False,False,1
40254,1,,0,1.0,28.0,2000.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Chelyabinsk,2020-12-12 14:35:07,university,УрСЭИ,False,False,0
10872,2,6.12,1,0.0,153.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,Kostopol,2020-05-24 12:03:12,work,"ДП ""Костопільський лісгосп""",False,False,0
18411,2,23.4,1,1.0,343.0,2015.0,Full-time,0.0,Alumnus (Specialist),Русский,0,0,Volgograd,2020-09-12 19:05:05,work,YRSPACE Esports | Волгоград,2018,False,0
22995,2,12.8.1983,1,1.0,56.0,2005.0,Full-time,0.0,Alumnus (Master's),Русский,1,2,Moscow,2020-07-24 01:33:23,work,Гражданство РФ | ВНЖ | РВП | Патент | Работа,2014,False,1
95523,1,17.8.1992,0,1.0,518.0,0.0,Distance Learning,4.0,Student (Specialist),Русский,1,2,Lida,2020-03-02 14:45:48,university,ГрГУ им. Янки Купалы,False,False,1
43200,2,12.9.1991,1,1.0,104.0,2015.0,Distance Learning,1.0,Student (Bachelor's),Русский,1,2,Dimitrovgrad,2020-02-11 14:16:23,university,ДИТИ (ф) НИЯУ МИФИ (бывш. ДИТУД филиал УЛГТУ),2009,2009,0
26362,2,11.1.1989,1,1.0,624.0,2011.0,Full-time,0.0,Alumnus (Bachelor's),Русский,3,5,Rostov-on-Don,2020-03-07 10:14:13,university,ЮФУ (бывш. РГУ),False,False,0
22756,2,,1,1.0,200.0,2003.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Pravdinsky,2020-03-06 22:03:45,work,"Центр передовых технологий управления персоналом и профессионального обучения ОАО ""РЖД""",2003,False,0
5963,2,,0,1.0,373.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Русский,1,2,Omsk,2020-11-28 17:14:22,university,ОмГТУ,False,False,0
90120,1,5.8.1984,1,1.0,1292.0,2005.0,Full-time,0.0,Alumnus (Master's),Русский,1,2,Samara,2020-08-12 14:12:35,work,СОШ №3,2004,False,1
88313,2,31.5.1985,1,1.0,247.0,2008.0,Part-time,1.0,Alumnus (Specialist),Русский,1,2,Tolyatti,2020-12-02 19:57:15,university,"ТГУ (бывш. ТолПИ, филиал СГПУ)",False,False,0
75706,2,1.12.1984,1,1.0,174.0,2007.0,Full-time,1.0,Alumnus (Master's),Русский,0,6,Omsk,2020-03-24 18:40:19,work,Ростелеком,2004,False,0
30503,2,14.12,0,1.0,192.0,2017.0,Full-time,0.0,Student (Bachelor's),Русский;English;Français,3,2,Saint Petersburg,2020-10-04 02:47:08,university,ФИНЭК,False,False,0
46820,2,,0,1.0,38.0,2000.0,Full-time,0.0,Alumnus (Specialist),False,False,False,Minsk,2020-07-21 23:33:06,university,БГУИР (бывш. МРТИ),False,False,1
5879,1,14.8.1982,1,1.0,25.0,2009.0,Distance Learning,5.0,Alumnus (Specialist),False,False,False,,2020-07-02 07:46:11,university,ТвГТУ,False,False,1
95777,2,1.8.1914,0,0.0,91.0,2014.0,Full-time,0.0,PhD,Абаза Бызшва,0,0,Nizhny Novgorod,2020-11-18 14:33:47,university,АФСБ РФ (бывш. ВШ КГБ СССР им. Ф. Э. Дзержинского),2013,2014,0
99675,2,3.7.1986,1,1.0,43.0,2008.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Krasnodar,2020-08-10 22:37:31,university,КубГТУ,False,False,0
82283,1,15.3.1992,0,1.0,257.0,2013.0,Distance Learning,0.0,Student (Bachelor's),Русский;Deutsch;English,0,6,Moscow,2020-05-04 17:32:46,university,Universität Passau,False,False,1
13213,1,15.4.1994,1,1.0,155.0,2016.0,Full-time,1.0,Alumnus (Bachelor's),False,6,2,Saint Petersburg,2020-12-01 22:04:37,university,СПбГАСУ,False,False,1
71332,1,13.10,0,1.0,1629.0,2014.0,Full-time,0.0,Student (Specialist),False,1,6,Kazan,2020-10-21 12:06:04,work,Организация свадьбы в Казани,2013,False,1
43456,2,5.3.1984,1,1.0,303.0,2007.0,,4.0,Alumnus (Specialist),Русский;English;Чăвашла,1,2,Urmary,2020-06-11 01:29:56,work,🔔 Эта страница официально подтверждена,2020,False,0
35957,1,3.8.1989,0,1.0,530.0,2011.0,Distance Learning,0.0,Student (Specialist),Русский,0,0,Arkhangelsk,2020-11-19 06:26:56,university,Финансовый университет при Правительстве РФ (АФ) (бывш. ВЗФЭИ),False,False,1
20691,2,7.7.1983,1,1.0,50.0,2015.0,Distance Learning,4.0,Alumnus (Specialist),Русский,False,False,Moscow,2020-01-29 20:19:00,university,Университет машиностроения (МАМИ),False,False,0
50464,1,8.7.1991,0,1.0,130.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,0,0,Nizhny Novgorod,2020-09-27 09:45:48,work,"ПечьСтройСервис | кладка печей, каминов,ремонт",2011,False,1
33741,2,,1,1.0,42.0,2013.0,Full-time,4.0,Student (Bachelor's),Русский,False,False,Kremennaya,2020-08-04 01:22:27,university,ХНАУ им. Докучаева,False,False,0
35050,2,18.3.1995,1,1.0,358.0,2018.0,Full-time,0.0,Student (Specialist),Русский,3,0,Yekaterinburg,2020-04-16 14:02:43,work,Стул,1995,False,0
1819,2,4.3,0,1.0,53.0,2007.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Lipetsk,2020-10-25 15:47:31,work,"-ОАО ""НЛМК""",2007,False,1
78358,1,4.8.1980,0,1.0,104.0,2003.0,Part-time,4.0,Alumnus (Specialist),False,False,False,Zheleznogorsk,2020-10-07 22:54:50,university,СФУ (ЖФ),False,False,1
22846,1,1.8.1980,0,1.0,767.0,2003.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Pskov,2020-08-31 08:41:05,work,"Российские железные дороги (ОАО ""РЖД"")",2018,False,1
36651,2,30.8.1990,1,1.0,7.0,2007.0,Full-time,0.0,Alumnus (Master's),Русский,0,0,,2020-10-06 21:27:30,university,СКГМИ (ГТУ),False,False,0
12326,1,6.7.1991,1,1.0,279.0,2012.0,Full-time,4.0,Student (Specialist),False,0,0,Omsk,2020-12-22 19:21:59,work,Омский государственный академический театр драмы,False,False,1
17272,1,5.12.1993,1,1.0,922.0,2021.0,,4.0,Alumnus (Master's),False,0,0,Bălţi ,2020-10-27 16:43:06,university,"Universitatea Tehnică a Moldovei (UTM, ТУМ)",False,False,1
17757,1,17.5,1,1.0,869.0,2011.0,Distance Learning,0.0,Alumnus (Specialist),Русский,0,0,Yekaterinburg,2020-01-19 07:29:47,university,УрФЮИ,False,False,1
65285,2,29.4,1,1.0,80.0,2011.0,Full-time,4.0,Student (Bachelor's),Русский,0,2,Saint Petersburg,2020-02-29 23:27:02,work,ПЕТРОКОМ,2001,False,1
49096,1,11.12,1,1.0,623.0,0.0,Full-time,4.0,Student (Specialist),Русский,6,1,Saint Petersburg,2020-05-07 06:49:26,university,СПбГУ,False,False,1
22310,2,28.8,0,1.0,94.0,2011.0,Distance Learning,0.0,Student (Bachelor's),Русский,0,0,Yekaterinburg,2020-03-23 21:29:45,university,УрГПУ,2010,2011,0
68039,2,25.9.1985,0,1.0,202.0,2016.0,,0.0,Alumnus (Specialist),Русский;English;Français;Svenska;हिन्दी;Словѣ́ньскъ,0,0,Moscow,2020-10-09 06:38:57,work,Частная психологическая практика,2004,False,1
41578,1,6.7,0,1.0,217.0,2001.0,Full-time,4.0,Alumnus (Specialist),Русский,0,0,Moscow,2020-02-13 08:22:39,university,МГУПП,2001,2013,1
8751,2,13.7.1984,1,1.0,81.0,2005.0,Full-time,4.0,Alumnus (Specialist),Русский,False,False,Moscow,2020-12-27 12:26:38,work,"""тюмень энерго"" Когалымские электрические сети урьевский РЭС",2007,False,0
83843,2,17.10,1,1.0,95.0,2003.0,Full-time,4.0,Alumnus (Master's),Русский,0,0,Yekaterinburg,2020-06-30 11:31:22,university,УрГАХУ (бывш. УралГАХА),2014,False,0
18367,2,,1,1.0,82.0,2014.0,Full-time,4.0,Student (Specialist),False,0,0,Nizhnevartovsk,2020-06-16 02:36:04,university,ОмГМУ (бывш. ОмГМА),False,False,0
48331,2,14.2,1,1.0,62.0,0.0,Full-time,0.0,Undergraduate applicant,Русский,2,False,Moscow,2020-10-12 17:59:35,university,ИНЭП,False,False,0
23442,1,27.3,1,1.0,323.0,2016.0,Full-time,0.0,Alumnus (Specialist),False,0,0,Saint Petersburg,2020-07-17 08:05:34,work,Misanthrope Theatre,2015,False,1
28530,1,5.12.1987,1,1.0,118.0,2015.0,Full-time,0.0,Student (Bachelor's),False,2,1,Essen,2020-12-29 04:36:05,,,False,False,1
28635,2,,0,1.0,180.0,0.0,Full-time,0.0,Alumnus (Bachelor's),Русский;English;Español,0,0,Saint Petersburg,2020-02-05 08:19:20,university,СПбГЭУ,False,False,1
54995,1,27.8.1994,0,1.0,339.0,2016.0,Full-time,4.0,Student (Bachelor's),Русский;English,6,1,Yekaterinburg,2020-08-22 11:42:13,work,Проектное бюро Р1,2018,False,1
80784,1,,0,1.0,29.0,0.0,Full-time,0.0,Alumnus (Specialist),False,False,False,,2020-08-30 10:04:58,,,False,False,1
12458,1,23.1.1992,1,1.0,454.0,2012.0,,4.0,Alumnus (Specialist),Русский,1,2,Moscow,2020-10-29 08:05:31,university,ИРТ (до 2017),False,False,1
52035,1,25.9,0,1.0,40.0,2002.0,Full-time,0.0,Alumnus (Specialist),Русский,0,0,Moscow,2020-10-30 15:48:52,university,МГУПП,2002,2014,1
28312,2,,0,1.0,190.0,2013.0,Full-time,1.0,Alumnus (Specialist),Русский;English;Deutsch,0,0,Moscow,2020-03-25 04:58:30,university,РУТ (МИИТ) (бывш. МГУПС Императора Николая II),False,False,0
89424,1,6.1,0,1.0,975.0,2014.0,Full-time,0.0,Alumnus (Specialist),Русский;English,6,6,Moscow,2020-08-10 15:27:44,work,GanchurPhoto. Фотограф Катерина Ганчурина,2013,False,1
